City,Date,PM25,PM10,Temperature,Humidity,AQI
Mumbai,2026-06-11 11:58:41.861102,43,222,21,60,132
Chennai,2026-05-25 11:58:41.861102,169,178,35,59,173
Bangalore,2026-05-19 11:58:41.861102,27,214,25,49,120
Delhi,2026-05-28 11:58:41.861102,79,105,32,62,92
Hyderabad,2026-05-22 11:58:41.861102,109,235,26,42,172
Hyderabad,2026-05-23 11:58:41.861102,113,73,21,76,93
Delhi,2026-06-14 11:58:41.861102,62,205,34,42,133
Delhi,2026-06-09 11:58:41.861102,106,176,28,80,141
Chennai,2026-05-28 11:58:41.861102,80,214,22,43,147
Delhi,2026-05-25 11:58:41.861102,68,199,28,64,133
Chennai,2026-06-08 11:58:41.861102,63,140,32,42,101
Bangalore,2026-06-07 11:58:41.861102,193,106,29,46,149
Bangalore,2026-05-29 11:58:41.861102,171,77,32,81,124
Hyderabad,2026-05-31 11:58:41.861102,138,121,20,50,129
Delhi,2026-06-06 11:58:41.861102,70,81,39,54,75
Delhi,2026-06-02 11:58:41.861102,109,92,20,56,100
Delhi,2026-05-29 11:58:41.861102,41,71,22,73,56
Bangalore,2026-05-19 11:58:41.861102,67,80,39,61,73
Delhi,2026-06-10 11:58:41.861102,23,56,32,81,39
Bangalore,2026-05-28 11:58:41.861102,106,232,29,54,169
Mumbai,2026-05-26 11:58:41.861102,176,245,26,85,210
Mumbai,2026-05-19 11:58:41.861102,97,97,28,62,97
Bangalore,2026-06-17 11:58:41.861102,166,59,36,41,112
Hyderabad,2026-05-20 11:58:41.861102,25,175,36,40,100
Bangalore,2026-05-28 11:58:41.861102,85,240,27,43,162
Chennai,2026-06-09 11:58:41.861102,86,194,30,74,140
Hyderabad,2026-06-12 11:58:41.861102,90,41,35,59,65
Delhi,2026-06-12 11:58:41.861102,177,135,31,49,156
Delhi,2026-06-12 11:58:41.861102,185,50,31,60,117
Mumbai,2026-06-03 11:58:41.861102,133,176,39,83,154
Hyderabad,2026-05-31 11:58:41.861102,139,80,33,48,109
Chennai,2026-06-12 11:58:41.861102,127,208,30,64,167
Hyderabad,2026-05-25 11:58:41.861102,138,187,26,67,162
Delhi,2026-05-30 11:58:41.861102,56,132,39,67,94
Delhi,2026-05-26 11:58:41.861102,60,47,33,54,53
Mumbai,2026-06-17 11:58:41.861102,141,75,22,82,108
Bangalore,2026-06-02 11:58:41.861102,165,195,27,72,180
Bangalore,2026-06-06 11:58:41.861102,66,201,32,79,133
Delhi,2026-06-07 11:58:41.861102,22,184,35,79,103
Mumbai,2026-05-21 11:58:41.861102,52,180,29,79,116
Hyderabad,2026-05-21 11:58:41.861102,48,94,29,69,71
Mumbai,2026-06-09 11:58:41.861102,83,136,33,61,109
Mumbai,2026-05-21 11:58:41.861102,80,157,32,73,118
Chennai,2026-05-28 11:58:41.861102,90,96,30,43,93
Bangalore,2026-06-13 11:58:41.861102,77,168,26,76,122
Delhi,2026-06-11 11:58:41.861102,130,204,39,64,167
Chennai,2026-05-22 11:58:41.861102,36,37,35,79,36
Delhi,2026-06-01 11:58:41.861102,112,115,39,44,113
Chennai,2026-05-24 11:58:41.861102,100,79,29,74,89
Chennai,2026-06-06 11:58:41.861102,172,193,26,80,182
Bangalore,2026-06-09 11:58:41.861102,96,155,23,56,125
Chennai,2026-05-21 11:58:41.861102,141,226,25,43,183
Hyderabad,2026-05-30 11:58:41.861102,45,145,24,43,95
Mumbai,2026-06-15 11:58:41.861102,88,32,24,43,60
Bangalore,2026-06-07 11:58:41.861102,166,247,21,53,206
Mumbai,2026-06-15 11:58:41.861102,85,227,20,52,156
Mumbai,2026-06-16 11:58:41.861102,130,38,39,54,84
Mumbai,2026-05-21 11:58:41.861102,73,101,26,57,87
Hyderabad,2026-06-03 11:58:41.861102,198,187,32,53,192
Hyderabad,2026-06-06 11:58:41.861102,99,133,21,83,116
Chennai,2026-06-15 11:58:41.861102,93,244,32,89,168
Hyderabad,2026-05-24 11:58:41.861102,112,168,25,57,140
Delhi,2026-06-11 11:58:41.861102,83,221,37,42,152
Delhi,2026-05-23 11:58:41.861102,82,183,32,47,132
Mumbai,2026-06-04 11:58:41.861102,162,95,39,61,128
Delhi,2026-05-19 11:58:41.861102,91,227,24,53,159
Bangalore,2026-05-24 11:58:41.861102,98,153,25,63,125
Delhi,2026-05-19 11:58:41.861102,171,164,33,57,167
Mumbai,2026-05-27 11:58:41.861102,47,86,39,80,66
Hyderabad,2026-06-17 11:58:41.861102,64,90,32,63,77
Hyderabad,2026-06-02 11:58:41.861102,143,221,34,76,182
Bangalore,2026-06-16 11:58:41.861102,139,167,30,51,153
Delhi,2026-06-14 11:58:41.861102,44,100,38,63,72
Delhi,2026-05-24 11:58:41.861102,96,69,29,58,82
Bangalore,2026-05-25 11:58:41.861102,188,200,34,71,194
Delhi,2026-06-10 11:58:41.861102,156,114,27,40,135
Mumbai,2026-06-08 11:58:41.861102,66,204,22,86,135
Mumbai,2026-05-25 11:58:41.861102,129,106,27,53,117
Hyderabad,2026-05-20 11:58:41.861102,71,183,39,85,127
Mumbai,2026-06-05 11:58:41.861102,51,158,29,57,104
Bangalore,2026-05-23 11:58:41.861102,77,183,33,71,130
Mumbai,2026-06-01 11:58:41.861102,186,142,30,58,164
Bangalore,2026-06-01 11:58:41.861102,137,129,27,63,133
Delhi,2026-06-01 11:58:41.861102,123,166,24,56,144
Delhi,2026-05-24 11:58:41.861102,79,133,38,45,106
Chennai,2026-05-19 11:58:41.861102,22,91,22,56,56
Bangalore,2026-06-07 11:58:41.861102,103,82,21,50,92
Delhi,2026-05-28 11:58:41.861102,104,42,35,89,73
Chennai,2026-06-15 11:58:41.861102,68,84,23,64,76
Bangalore,2026-06-04 11:58:41.861102,29,85,26,66,57
Bangalore,2026-05-31 11:58:41.861102,138,221,33,56,179
Chennai,2026-05-27 11:58:41.861102,114,196,39,68,155
Bangalore,2026-06-16 11:58:41.861102,115,220,27,53,167
Mumbai,2026-06-09 11:58:41.861102,128,199,27,66,163
Hyderabad,2026-06-03 11:58:41.861102,147,135,31,87,141
Delhi,2026-06-15 11:58:41.861102,35,154,26,75,94
Bangalore,2026-06-02 11:58:41.861102,73,58,21,69,65
Mumbai,2026-05-31 11:58:41.861102,154,202,20,68,178
Delhi,2026-06-01 11:58:41.861102,146,179,29,85,162
Mumbai,2026-05-27 11:58:41.861102,178,221,33,60,199
Bangalore,2026-06-02 11:58:41.861102,48,127,20,44,87
Chennai,2026-06-07 11:58:41.861102,109,37,33,84,73
Delhi,2026-06-17 11:58:41.861102,146,99,38,68,122
Chennai,2026-05-31 11:58:41.861102,73,100,22,60,86
Chennai,2026-05-30 11:58:41.861102,145,228,36,76,186
Bangalore,2026-06-13 11:58:41.861102,110,209,23,84,159
Delhi,2026-05-23 11:58:41.861102,69,136,38,79,102
Chennai,2026-06-06 11:58:41.861102,64,138,21,60,101
Delhi,2026-06-15 11:58:41.861102,68,193,24,43,130
Bangalore,2026-06-09 11:58:41.861102,30,228,36,59,129
Bangalore,2026-05-23 11:58:41.861102,27,117,39,86,72
Hyderabad,2026-05-21 11:58:41.861102,104,156,38,62,130
Mumbai,2026-06-16 11:58:41.861102,40,246,23,64,143
Delhi,2026-06-03 11:58:41.861102,61,136,24,77,98
Mumbai,2026-06-17 11:58:41.861102,126,38,34,56,82
Bangalore,2026-05-21 11:58:41.861102,86,145,36,60,115
Bangalore,2026-05-24 11:58:41.861102,185,103,24,50,144
Delhi,2026-05-29 11:58:41.861102,109,86,25,68,97
Bangalore,2026-06-10 11:58:41.861102,24,157,21,66,90
Hyderabad,2026-06-09 11:58:41.861102,31,55,34,81,43
Chennai,2026-06-06 11:58:41.861102,98,228,35,76,163
Chennai,2026-06-05 11:58:41.861102,189,112,28,62,150
Chennai,2026-05-22 11:58:41.861102,46,240,35,85,143
Chennai,2026-05-26 11:58:41.861102,146,123,22,60,134
Bangalore,2026-05-27 11:58:41.861102,22,192,30,52,107
Mumbai,2026-05-29 11:58:41.861102,69,107,29,79,88
Hyderabad,2026-06-15 11:58:41.861102,91,73,27,42,82
Delhi,2026-06-15 11:58:41.861102,108,43,36,54,75
Hyderabad,2026-05-24 11:58:41.861102,176,62,20,52,119
Mumbai,2026-06-10 11:58:41.861102,126,33,34,71,79
Bangalore,2026-05-21 11:58:41.861102,78,147,34,48,112
Bangalore,2026-05-23 11:58:41.861102,183,94,27,79,138
Hyderabad,2026-06-07 11:58:41.861102,35,63,23,61,49
Bangalore,2026-05-30 11:58:41.861102,193,220,37,78,206
Mumbai,2026-05-27 11:58:41.861102,58,220,39,78,139
Chennai,2026-06-10 11:58:41.861102,50,238,29,62,144
Delhi,2026-06-07 11:58:41.861102,147,178,22,75,162
Mumbai,2026-05-31 11:58:41.861102,114,193,39,72,153
Bangalore,2026-05-22 11:58:41.861102,113,89,27,79,101
Chennai,2026-05-22 11:58:41.861102,170,195,32,45,182
Mumbai,2026-06-08 11:58:41.861102,89,158,32,57,123
Delhi,2026-05-28 11:58:41.861102,120,109,38,89,114
Delhi,2026-06-03 11:58:41.861102,47,148,21,66,97
Mumbai,2026-06-17 11:58:41.861102,182,136,22,67,159
Mumbai,2026-06-03 11:58:41.861102,158,57,21,77,107
Delhi,2026-06-11 11:58:41.861102,195,45,33,75,120
Mumbai,2026-05-25 11:58:41.861102,77,111,30,50,94
Delhi,2026-06-06 11:58:41.861102,153,178,34,80,165
Hyderabad,2026-06-17 11:58:41.861102,62,147,34,49,104
Mumbai,2026-06-12 11:58:41.861102,129,192,28,72,160
Hyderabad,2026-06-03 11:58:41.861102,186,30,37,87,108
Chennai,2026-06-06 11:58:41.861102,127,148,21,52,137
Bangalore,2026-06-14 11:58:41.861102,165,70,28,56,117
Bangalore,2026-06-13 11:58:41.861102,155,200,29,68,177
Mumbai,2026-06-05 11:58:41.861102,169,219,33,75,194
Mumbai,2026-06-05 11:58:41.861102,196,158,32,45,177
Hyderabad,2026-05-29 11:58:41.861102,179,197,30,63,188
Chennai,2026-06-15 11:58:41.861102,150,102,29,78,126
Delhi,2026-06-13 11:58:41.861102,34,117,39,72,75
Delhi,2026-05-27 11:58:41.861102,137,31,39,45,84
Bangalore,2026-05-21 11:58:41.861102,57,61,33,56,59
Hyderabad,2026-06-14 11:58:41.861102,64,56,24,71,60
Bangalore,2026-06-17 11:58:41.861102,190,155,33,48,172
Delhi,2026-06-12 11:58:41.861102,79,127,29,65,103
Hyderabad,2026-06-03 11:58:41.861102,170,120,31,50,145
Hyderabad,2026-05-26 11:58:41.861102,93,40,27,48,66
Bangalore,2026-06-10 11:58:41.861102,116,104,27,51,110
Bangalore,2026-05-30 11:58:41.861102,82,131,27,63,106
Hyderabad,2026-05-24 11:58:41.861102,129,162,31,46,145
Bangalore,2026-06-04 11:58:41.861102,24,194,23,79,109
Delhi,2026-06-11 11:58:41.861102,86,120,33,69,103
Chennai,2026-05-29 11:58:41.861102,52,49,39,84,50
Bangalore,2026-06-12 11:58:41.861102,183,96,33,87,139
Bangalore,2026-06-10 11:58:41.861102,150,200,26,51,175
Bangalore,2026-06-13 11:58:41.861102,164,93,33,71,128
Mumbai,2026-05-22 11:58:41.861102,196,245,30,56,220
Bangalore,2026-06-12 11:58:41.861102,135,214,37,57,174
Hyderabad,2026-06-01 11:58:41.861102,173,130,29,49,151
Chennai,2026-06-12 11:58:41.861102,75,87,36,49,81
Delhi,2026-06-01 11:58:41.861102,186,71,26,63,128
Hyderabad,2026-05-20 11:58:41.861102,180,43,27,77,111
Bangalore,2026-05-28 11:58:41.861102,104,81,24,58,92
Delhi,2026-06-07 11:58:41.861102,199,79,32,89,139
Hyderabad,2026-05-23 11:58:41.861102,116,237,23,68,176
Mumbai,2026-06-15 11:58:41.861102,190,113,39,68,151
Bangalore,2026-06-06 11:58:41.861102,155,155,26,71,155
Hyderabad,2026-05-25 11:58:41.861102,145,39,35,62,92
Bangalore,2026-06-12 11:58:41.861102,97,123,39,47,110
Delhi,2026-06-04 11:58:41.861102,180,162,22,62,171
Bangalore,2026-06-11 11:58:41.861102,172,59,35,55,115
Chennai,2026-05-20 11:58:41.861102,80,127,36,87,103
Hyderabad,2026-05-31 11:58:41.861102,181,189,23,51,185
Delhi,2026-06-03 11:58:41.861102,22,37,29,68,29
Chennai,2026-06-16 11:58:41.861102,122,171,28,57,146
Chennai,2026-05-23 11:58:41.861102,136,180,39,69,158
Hyderabad,2026-06-05 11:58:41.861102,54,30,21,42,42
Hyderabad,2026-06-12 11:58:41.861102,173,78,21,85,125
Hyderabad,2026-06-14 11:58:41.861102,58,82,25,56,70
Mumbai,2026-06-10 11:58:41.861102,152,47,20,46,99
Mumbai,2026-05-25 11:58:41.861102,27,136,26,53,81
Mumbai,2026-06-05 11:58:41.861102,74,105,31,67,89
Bangalore,2026-05-27 11:58:41.861102,124,94,27,76,109
Delhi,2026-06-08 11:58:41.861102,190,82,22,47,136
Bangalore,2026-05-25 11:58:41.861102,115,191,20,77,153
Chennai,2026-05-22 11:58:41.861102,105,214,37,81,159
Chennai,2026-05-26 11:58:41.861102,115,46,33,46,80
Bangalore,2026-06-17 11:58:41.861102,45,149,39,51,97
Bangalore,2026-05-24 11:58:41.861102,52,175,35,45,113
Hyderabad,2026-05-19 11:58:41.861102,84,60,27,46,72
Delhi,2026-05-30 11:58:41.861102,199,78,27,47,138
Hyderabad,2026-05-25 11:58:41.861102,93,203,29,62,148
Mumbai,2026-05-22 11:58:41.861102,142,245,39,74,193
Mumbai,2026-05-29 11:58:41.861102,90,168,30,80,129
Chennai,2026-06-04 11:58:41.861102,190,249,29,72,219
Chennai,2026-05-22 11:58:41.861102,146,38,29,51,92
Chennai,2026-06-12 11:58:41.861102,85,142,26,88,113
Bangalore,2026-06-05 11:58:41.861102,98,106,27,63,102
Mumbai,2026-06-04 11:58:41.861102,97,245,34,52,171
Mumbai,2026-05-27 11:58:41.861102,76,178,34,68,127
Delhi,2026-06-11 11:58:41.861102,151,181,23,83,166
Mumbai,2026-06-13 11:58:41.861102,162,140,32,40,151
Delhi,2026-06-16 11:58:41.861102,48,60,24,44,54
Hyderabad,2026-06-09 11:58:41.861102,132,110,35,89,121
Hyderabad,2026-06-03 11:58:41.861102,186,99,29,58,142
Bangalore,2026-06-15 11:58:41.861102,85,36,37,49,60
Hyderabad,2026-06-05 11:58:41.861102,28,132,26,45,80
Bangalore,2026-05-29 11:58:41.861102,171,197,20,86,184
Bangalore,2026-05-22 11:58:41.861102,161,41,29,82,101
Mumbai,2026-05-27 11:58:41.861102,94,236,22,87,165
Chennai,2026-05-26 11:58:41.861102,179,62,32,40,120
Bangalore,2026-06-02 11:58:41.861102,54,103,24,86,78
Mumbai,2026-06-07 11:58:41.861102,42,100,20,58,71
Hyderabad,2026-06-12 11:58:41.861102,168,103,35,57,135
Delhi,2026-06-11 11:58:41.861102,164,42,21,57,103
Delhi,2026-06-07 11:58:41.861102,70,70,29,71,70
Delhi,2026-06-02 11:58:41.861102,167,127,34,52,147
Delhi,2026-06-03 11:58:41.861102,122,106,38,65,114
Bangalore,2026-05-20 11:58:41.861102,40,230,32,60,135
Bangalore,2026-06-16 11:58:41.861102,41,54,35,48,47
Mumbai,2026-05-19 11:58:41.861102,39,118,35,64,78
Hyderabad,2026-05-30 11:58:41.861102,197,241,31,69,219
Hyderabad,2026-06-07 11:58:41.861102,56,186,23,56,121
Mumbai,2026-06-02 11:58:41.861102,143,194,22,65,168
Bangalore,2026-05-25 11:58:41.861102,138,150,31,47,144
Bangalore,2026-05-29 11:58:41.861102,137,245,30,41,191
Hyderabad,2026-05-26 11:58:41.861102,39,142,23,68,90
Chennai,2026-06-14 11:58:41.861102,124,153,26,57,138
Chennai,2026-06-09 11:58:41.861102,21,131,34,45,76
Delhi,2026-06-16 11:58:41.861102,84,225,35,42,154
Mumbai,2026-06-11 11:58:41.861102,198,66,30,44,132
Bangalore,2026-06-13 11:58:41.861102,23,187,29,78,105
Delhi,2026-06-03 11:58:41.861102,158,200,25,74,179
Chennai,2026-06-03 11:58:41.861102,141,223,39,72,182
Mumbai,2026-06-10 11:58:41.861102,54,187,35,57,120
Chennai,2026-05-25 11:58:41.861102,166,143,32,66,154
Bangalore,2026-06-02 11:58:41.861102,184,97,25,65,140
Delhi,2026-05-24 11:58:41.861102,151,110,26,56,130
Chennai,2026-06-08 11:58:41.861102,69,62,39,83,65
Chennai,2026-06-09 11:58:41.861102,141,218,26,56,179
Hyderabad,2026-06-02 11:58:41.861102,126,60,21,55,93
Bangalore,2026-06-08 11:58:41.861102,56,247,20,79,151
Bangalore,2026-05-23 11:58:41.861102,91,72,38,46,81
Hyderabad,2026-05-26 11:58:41.861102,22,94,24,49,58
Mumbai,2026-06-11 11:58:41.861102,144,191,22,42,167
Chennai,2026-06-03 11:58:41.861102,52,155,32,88,103
Hyderabad,2026-05-31 11:58:41.861102,99,54,20,45,76
Bangalore,2026-05-23 11:58:41.861102,180,237,39,88,208
Bangalore,2026-06-15 11:58:41.861102,65,111,36,58,88
Hyderabad,2026-06-08 11:58:41.861102,111,172,20,47,141
Chennai,2026-06-14 11:58:41.861102,179,125,30,59,152
Chennai,2026-06-03 11:58:41.861102,100,207,28,53,153
Delhi,2026-05-27 11:58:41.861102,76,170,25,44,123
Chennai,2026-06-04 11:58:41.861102,58,73,23,57,65
Hyderabad,2026-05-19 11:58:41.861102,63,54,22,67,58
Hyderabad,2026-06-09 11:58:41.861102,91,91,39,41,91
Delhi,2026-05-19 11:58:41.861102,70,46,26,47,58
Mumbai,2026-06-03 11:58:41.861102,54,204,28,59,129
Delhi,2026-06-17 11:58:41.861102,125,53,28,73,89
Bangalore,2026-06-16 11:58:41.861102,193,41,21,54,117
Delhi,2026-06-08 11:58:41.861102,186,197,31,66,191
Chennai,2026-06-14 11:58:41.861102,93,142,22,81,117
Hyderabad,2026-05-30 11:58:41.861102,51,128,23,56,89
Hyderabad,2026-05-20 11:58:41.861102,82,227,39,76,154
Bangalore,2026-06-17 11:58:41.861102,173,198,28,50,185
Hyderabad,2026-05-23 11:58:41.861102,190,173,28,46,181
Delhi,2026-06-05 11:58:41.861102,57,67,30,40,62
Delhi,2026-06-08 11:58:41.861102,50,148,39,77,99
Hyderabad,2026-06-02 11:58:41.861102,68,43,32,43,55
Hyderabad,2026-06-08 11:58:41.861102,168,133,22,63,150
Bangalore,2026-06-10 11:58:41.861102,185,209,28,70,197
Chennai,2026-05-22 11:58:41.861102,99,217,20,58,158
Hyderabad,2026-05-24 11:58:41.861102,176,247,30,63,211
Hyderabad,2026-06-10 11:58:41.861102,138,145,33,84,141
Mumbai,2026-06-05 11:58:41.861102,119,85,26,86,102
